antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'School Incident'}),"frozenset({'Gun at school, no death/injury - elementary/secondary school'})",0.014525821707539677,0.010969929000675619,0.010969929000675619,0.7552019583843329,68.84292125662995,0.010810581767867436,4.04018784003224
"frozenset({'Gun at school, no death/injury - elementary/secondary school'})",frozenset({'School Incident'}),0.010969929000675619,0.014525821707539677,0.010969929000675619,1.0,68.84292125662995,0.010810581767867436,inf
frozenset({'Home Invasion'}),frozenset({'Home Invasion - No death or injury'}),0.020594545260587672,0.010495809973093745,0.010495809973093745,0.5096402877697841,48.556546762589925,0.010279653539556339,2.0179149415161377
frozenset({'Home Invasion - No death or injury'}),frozenset({'Home Invasion'}),0.010495809973093745,0.020594545260587672,0.010495809973093745,1.0,48.556546762589925,0.010279653539556339,inf
frozenset({'Murder/Suicide'}),frozenset({'Suicide^'}),0.011858902177391634,0.02712553486552799,0.011260326905069517,0.9495252373813093,35.004848460628764,0.010938647840589795,19.274473314198797
frozenset({'Suicide^'}),frozenset({'Murder/Suicide'}),0.02712553486552799,0.011858902177391634,0.011260326905069517,0.4151190736290146,35.004848460628764,0.010938647840589795,1.6894739651602835
"frozenset({'Accidental Shooting - Injury', 'Accidental Shooting'})",frozenset({'Accidental/Negligent Discharge'}),0.024535659677362,0.030242867471878813,0.01940332120378821,0.7908212560386473,26.149017012820913,0.01866129249983063,4.636021395688707
frozenset({'Accidental/Negligent Discharge'}),frozenset({'Accidental Shooting - Injury'}),0.030242867471878813,0.024535659677362,0.01940332120378821,0.641583382324123,26.149017012820913,0.01866129249983063,2.721593509385687
frozenset({'Accidental Shooting - Injury'}),frozenset({'Accidental/Negligent Discharge'}),0.024535659677362,0.030242867471878813,0.01940332120378821,0.7908212560386473,26.149017012820913,0.01866129249983063,4.636021395688707
frozenset({'Accidental Shooting - Injury'}),"frozenset({'Accidental/Negligent Discharge', 'Accidental Shooting'})",0.024535659677362,0.030242867471878813,0.01940332120378821,0.7908212560386473,26.149017012820913,0.01866129249983063,4.636021395688707
frozenset({'Accidental/Negligent Discharge'}),"frozenset({'Accidental Shooting - Injury', 'Accidental Shooting'})",0.030242867471878813,0.024535659677362,0.01940332120378821,0.641583382324123,26.149017012820913,0.01866129249983063,2.721593509385687
"frozenset({'Accidental/Negligent Discharge', 'Accidental Shooting'})",frozenset({'Accidental Shooting - Injury'}),0.030242867471878813,0.024535659677362,0.01940332120378821,0.641583382324123,26.149017012820913,0.01866129249983063,2.721593509385687
frozenset({'Accidental Shooting'}),"frozenset({'Accidental/Negligent Discharge', 'Accidental Shooting - Injury'})",0.03868218616283618,0.01940332120378821,0.01940332120378821,0.5016087023134671,25.851692967672744,0.018652758320805967,1.9675236773756146
"frozenset({'Accidental/Negligent Discharge', 'Accidental Shooting - Injury'})",frozenset({'Accidental Shooting'}),0.01940332120378821,0.03868218616283618,0.01940332120378821,1.0,25.851692967672744,0.018652758320805967,inf
frozenset({'Self-Inflicted (not suicide or suicide attempt - NO PERP)'}),frozenset({'Accidental Shooting'}),0.010466177533869877,0.03868218616283618,0.010466177533869877,1.0,25.851692967672744,0.010061322906091429,inf
frozenset({'Accidental Shooting'}),frozenset({'Accidental Shooting - Injury'}),0.03868218616283618,0.024535659677362,0.024535659677362,0.634288340738471,25.851692967672744,0.02358656672209429,2.667304461368185
frozenset({'Accidental/Negligent Discharge'}),frozenset({'Accidental Shooting'}),0.030242867471878813,0.03868218616283618,0.030242867471878813,1.0,25.851692967672744,0.029073007242233613,inf
frozenset({'Accidental Shooting'}),frozenset({'Accidental/Negligent Discharge'}),0.03868218616283618,0.030242867471878813,0.030242867471878813,0.7818293243450283,25.851692967672744,0.029073007242233613,4.444947193827981
frozenset({'Accidental Shooting - Injury'}),frozenset({'Accidental Shooting'}),0.024535659677362,0.03868218616283618,0.024535659677362,1.0,25.851692967672744,0.02358656672209429,inf
frozenset({'Accidental Shooting'}),frozenset({'Self-Inflicted (not suicide or suicide attempt - NO PERP)'}),0.03868218616283618,0.010466177533869877,0.010466177533869877,0.27056840815075833,25.85169296767274,0.010061322906091429,1.3565820750339068
"frozenset({'Officer Involved Shooting - Shots fired, no injury'})",frozenset({'Officer Involved Incident'}),0.013779084239098226,0.08528216008628967,0.013779084239098226,1.0,11.725781792911745,0.012603974171176981,inf
frozenset({'Officer Involved Incident - Weapon involved but no shots fired'}),frozenset({'Officer Involved Incident'}),0.020096720281626703,0.08528216008628967,0.020096720281626703,1.0,11.725781792911745,0.01838282856535963,inf
frozenset({'Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff'}),frozenset({'Officer Involved Incident'}),0.011112164708950182,0.08528216008628967,0.011112164708950182,1.0,11.725781792911745,0.010164495299336274,inf
