Law ID,state,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change
AL1001,Alabama,1,1,background checks,private sales,handgun,,
AL1002,Alabama,1,1,background checks,sales from dealer,handgun,,
AL1003,Alabama,1,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
AL1004,Alabama,1,3,castle doctrine,,handgun and long gun,Permissive,Modify
AL1005,Alabama,1,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
AL1006,Alabama,1,4,child access laws,negligent storage,handgun and long gun,,
AL1007,Alabama,1,5,dealer license,,handgun,Restrictive,Implement
AL1008,Alabama,1,5,dealer license,,long gun,,
AL1009,Alabama,1,7,minimum age,youth possession,handgun,,
AL1010,Alabama,1,7,minimum age,purchase and sale,long gun,,
AL1011,Alabama,1,7,minimum age,purchase and sale,handgun,Restrictive,Implement
AL1012,Alabama,1,7,minimum age,youth possession,handgun,Restrictive,Implement
AL1014,Alabama,1,8,open carry,not restricted,handgun,,
AL1015,Alabama,1,11,registration,,handgun,Restrictive,Implement
AL1016,Alabama,1,11,registration,,handgun,Permissive,Repeal
AL1017,Alabama,1,11,registration,,long gun,,
AL1018,Alabama,1,13,waiting period,,handgun,Restrictive,Implement
AL1019,Alabama,1,13,waiting period,,handgun,Permissive,Repeal
AL1020,Alabama,1,1,background checks,private sales,long gun,,
AL1021,Alabama,1,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
AL1022,Alabama,1,1,background checks,sales from dealer,long gun,,
AL1023,Alabama,1,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement
AL1024,Alabama,1,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
AL1025,Alabama,1,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
AL1026,Alabama,1,12,safety training required,,handgun,,
AL1027,Alabama,1,10,prohibited possessor,erpo,handgun and long gun,,
AL1028,Alabama,1,10,prohibited possessor,dvro,handgun and long gun,,
AL1029,Alabama,1,12,safety training required,,long gun,,
AL1030,Alabama,1,7,minimum age,youth possession,long gun,,
AL1031,Alabama,1,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
AL1032,Alabama,1,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
AL1033,Alabama,1,6,firearm sales restrictions,,handgun and long gun,,
AL1034,Alabama,1,8,open carry,not restricted,long gun,,
AL1035,Alabama,1,9,permit to purchase,,handgun,,
AL1036,Alabama,1,9,permit to purchase,,long gun,,
AL1037,Alabama,1,3,castle doctrine,,handgun and long gun,Permissive,Implement
AL1038,Alabama,1,13,waiting period,,long gun,,
AL1039,Alabama,1,14,firearm removal at scene of domestic violence,,handgun and long gun,,
AL1040,Alabama,1,13,firearms in college/university,,handgun and long gun,,
AL1041,Alabama,1,12,local laws preempted by state,,handgun and long gun,,
AL1042,Alabama,1,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
AL1043,Alabama,1,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
AL1044,Alabama,1,11,required reporting of lost or stolen firearms,,handgun and long gun,,
AK1001,Alaska,2,1,background checks,private sales,handgun,,
AK1002,Alaska,2,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
AK1003,Alaska,2,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
AK1004,Alaska,2,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
AK1005,Alaska,2,3,castle doctrine,,handgun and long gun,Permissive,Modify
AK1050,Alaska,2,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
AK1006,Alaska,2,3,castle doctrine,expanded 2,handgun and long gun,Permissive,Modify
AK1007,Alaska,2,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
AK1008,Alaska,2,5,dealer license,,handgun,,
AK1009,Alaska,2,7,minimum age,youth possession,long gun,Restrictive,Implement
AK1010,Alaska,2,7,minimum age,youth possession,handgun,,
AK1011,Alaska,2,7,minimum age,purchase and sale,long gun,Restrictive,Implement
AK1013,Alaska,2,8,open carry,not restricted,handgun,,
AK1014,Alaska,2,11,registration,,handgun,,
AK1015,Alaska,2,7,minimum age,youth possession,handgun,Restrictive,Implement
AK1016,Alaska,2,7,minimum age,purchase and sale,handgun,Restrictive,Implement
AK1017,Alaska,2,13,waiting period,,long gun,,
AK1018,Alaska,2,13,waiting period,,handgun,,
AK1019,Alaska,2,4,child access laws,negligent storage,handgun and long gun,,
AK1020,Alaska,2,5,dealer license,,long gun,,
AK1021,Alaska,2,11,registration,,long gun,,
AK1022,Alaska,2,1,background checks,private sales,long gun,,
AK1023,Alaska,2,10,prohibited possessor,dvro : expanded : discretionary : discretionary surrender,handgun and long gun,Restrictive,Implement
AK1024,Alaska,2,12,safety training required,,handgun,,
AK1025,Alaska,2,10,prohibited possessor,erpo,handgun and long gun,,
AK1026,Alaska,2,10,prohibited possessor,dvro,handgun and long gun,,
AK1027,Alaska,2,10,prohibited possessor,mental health,handgun and long gun,,
AK1028,Alaska,2,12,safety training required,,long gun,,
AK1029,Alaska,2,7,minimum age,youth possession,long gun,,
AK1030,Alaska,2,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
AK1031,Alaska,2,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
AK1032,Alaska,2,1,background checks,sales from dealer,handgun,,
AK1033,Alaska,2,1,background checks,sales from dealer,long gun,,
AK1034,Alaska,2,7,minimum age,purchase and sale,handgun,,
AK1035,Alaska,2,7,minimum age,purchase and sale,long gun,,
AK1036,Alaska,2,6,firearm sales restrictions,,handgun and long gun,,
AK1037,Alaska,2,8,open carry,not restricted,long gun,,
AK1038,Alaska,2,9,permit to purchase,,handgun,,
AK1040,Alaska,2,3,castle doctrine,,handgun and long gun,Permissive,Implement
AK1041,Alaska,2,13,waiting period,federal,handgun,Restrictive,Implement
AK1042,Alaska,2,13,waiting period,federal,handgun,Permissive,Repeal
AK1039,Alaska,2,9,permit to purchase,,long gun,,
AK1043,Alaska,2,14,firearm removal at scene of domestic violence,,handgun and long gun,,
AK1044,Alaska,2,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement
AK1045,Alaska,2,13,firearms in college/university,,handgun and long gun,,
AK1046,Alaska,2,12,local laws preempted by state,,handgun and long gun,,
AK1047,Alaska,2,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
AK1048,Alaska,2,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
AK1049,Alaska,2,11,required reporting of lost or stolen firearms,,handgun and long gun,,
AZ1001,Arizona,4,1,background checks,private sales,handgun,,
AZ1002,Arizona,4,1,background checks,private sales,long gun,Restrictive,Implement
AZ1003,Arizona,4,1,background checks,sales from dealer,handgun,,
AZ1004,Arizona,4,1,background checks,sales from dealer,long gun,Restrictive,Implement
AZ1005,Arizona,4,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
AZ1006,Arizona,4,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Implement
AZ1007,Arizona,4,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
AZ1008,Arizona,4,3,castle doctrine,,handgun and long gun,Permissive,Modify
AZ1009,Arizona,4,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
AZ1010,Arizona,4,4,child access laws,negligent storage,handgun and long gun,,
AZ1011,Arizona,4,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
AZ1012,Arizona,4,7,minimum age,youth possession,handgun,Restrictive,Implement
AZ1013,Arizona,4,7,minimum age,youth possession,handgun,,
AZ1014,Arizona,4,7,minimum age,purchase and sale,long gun,Restrictive,Implement
AZ1016,Arizona,4,8,open carry,not restricted,handgun,,
AZ1017,Arizona,4,11,registration,,handgun,,
AZ1018,Arizona,4,13,waiting period,,handgun,,
AZ1019,Arizona,4,11,registration,,long gun,,
AZ1020,Arizona,4,1,background checks,private sales,long gun,,
AZ1021,Arizona,4,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
AZ1022,Arizona,4,7,minimum age,youth possession,long gun,Restrictive,Implement
AZ1023,Arizona,4,7,minimum age,purchase and sale,handgun,Restrictive,Implement
AZ1024,Arizona,4,13,waiting period,,long gun,,
AZ1025,Arizona,4,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
AZ1026,Arizona,4,10,prohibited possessor,mental health : committed to mh facility : outpatient,handgun and long gun,Restrictive,Implement
AZ1027,Arizona,4,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement
AZ1028,Arizona,4,10,prohibited possessor,dvro : surrender,handgun and long gun,Restrictive,Implement
AZ1029,Arizona,4,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
AZ1030,Arizona,4,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
AZ1031,Arizona,4,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Modify
AZ1032,Arizona,4,12,safety training required,,handgun,,
AZ1033,Arizona,4,10,prohibited possessor,erpo,handgun and long gun,,
AZ1034,Arizona,4,10,prohibited possessor,dvro,handgun and long gun,,
AZ1035,Arizona,4,12,safety training required,,long gun,,
AZ1036,Arizona,4,7,minimum age,youth possession,long gun,,
AZ1037,Arizona,4,1,background checks,sales from dealer,handgun,Restrictive,Implement
AZ1038,Arizona,4,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
AZ1039,Arizona,4,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
AZ1040,Arizona,4,1,background checks,sales from dealer,long gun,,
AZ1041,Arizona,4,8,open carry,not restricted,long gun,,
AZ1042,Arizona,4,9,permit to purchase,,handgun,,
AZ1043,Arizona,4,9,permit to purchase,,long gun,,
AZ1044,Arizona,4,6,firearm sales restrictions,,handgun and long gun,,
AZ1045,Arizona,4,3,castle doctrine,,handgun and long gun,Permissive,Implement
AZ1046,Arizona,4,13,waiting period,federal,handgun,Restrictive,Implement
AZ1047,Arizona,4,13,waiting period,federal,handgun,Permissive,Repeal
AZ1048,Arizona,4,14,firearm removal at scene of domestic violence,,handgun and long gun,,
AZ1049,Arizona,4,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement
AZ1050,Arizona,4,13,firearms in college/university,,handgun and long gun,,
AZ1051,Arizona,4,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
AZ1052,Arizona,4,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
AZ1053,Arizona,4,11,required reporting of lost or stolen firearms,,handgun and long gun,,
AR1041,Arkansas,5,3,castle doctrine,,handgun and long gun,Permissive,Implement
AR1001,Arkansas,5,1,background checks,private sales,handgun,,
AR1002,Arkansas,5,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
AR1003,Arkansas,5,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
AR1004,Arkansas,5,3,castle doctrine,,handgun and long gun,Permissive,Modify
AR1005,Arkansas,5,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
AR1006,Arkansas,5,5,dealer license,,handgun,,
AR1007,Arkansas,5,7,minimum age,youth possession,handgun,Restrictive,Implement
AR1008,Arkansas,5,7,minimum age,youth possession,handgun,,
AR1009,Arkansas,5,7,minimum age,youth possession,long gun,,
AR1010,Arkansas,5,7,minimum age,purchase and sale,long gun,Restrictive,Implement
AR1012,Arkansas,5,8,open carry,not restricted,handgun,,
AR1013,Arkansas,5,11,registration,,handgun,,
AR1014,Arkansas,5,7,minimum age,purchase and sale,handgun,Restrictive,Implement
AR1015,Arkansas,5,4,child access laws,negligent storage,handgun and long gun,,
AR1016,Arkansas,5,13,waiting period,,handgun,,
AR1017,Arkansas,5,1,background checks,private sales,long gun,,
AR1018,Arkansas,5,5,dealer license,,long gun,,
AR1019,Arkansas,5,11,registration,,long gun,,
AR1020,Arkansas,5,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
AR1021,Arkansas,5,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
AR1022,Arkansas,5,12,safety training required,,handgun,,
AR1023,Arkansas,5,10,prohibited possessor,erpo,handgun and long gun,,
AR1024,Arkansas,5,10,prohibited possessor,dvro,handgun and long gun,,
AR1025,Arkansas,5,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
AR1026,Arkansas,5,13,waiting period,,long gun,,
AR1027,Arkansas,5,12,safety training required,,long gun,,
AR1028,Arkansas,5,7,minimum age,youth possession,long gun,,
AR1029,Arkansas,5,1,background checks,sales from dealer,handgun,,
AR1030,Arkansas,5,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
AR1031,Arkansas,5,1,background checks,sales from dealer : federal,handgun,Permissive,Modify
AR1032,Arkansas,5,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
AR1033,Arkansas,5,1,background checks,sales from dealer : federal,long gun,Restrictive,Modify
AR1034,Arkansas,5,1,background checks,sales from dealer,long gun,,
AR1035,Arkansas,5,6,firearm sales restrictions,,handgun and long gun,,
AR1036,Arkansas,5,8,open carry,not restricted,long gun,,
AR1037,Arkansas,5,9,permit to purchase,,handgun,,
AR1038,Arkansas,5,9,permit to purchase,,long gun,,
AR1039,Arkansas,5,13,waiting period,federal,handgun,Restrictive,Implement
AR1040,Arkansas,5,13,waiting period,federal,handgun,Permissive,Repeal
AR1041,Arkansas,5,14,firearm removal at scene of domestic violence,,handgun and long gun,,
AR1042,Arkansas,5,13,firearms in college/university,,handgun and long gun,,
AR1043,Arkansas,5,13,firearms in college/university,private : possession prohibited,handgun,Restrictive,Implement
AR1044,Arkansas,5,13,firearms in college/university,public : CCW allowed,handgun,Permissive,Implement
AR1045,Arkansas,5,13,firearms in college/university,public : possession prohibited,handgun,Restrictive,Implement
AR1046,Arkansas,5,12,local laws preempted by state,,handgun and long gun,,
AR1047,Arkansas,5,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
AR1048,Arkansas,5,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
AR1049,Arkansas,5,11,required reporting of lost or stolen firearms,,handgun and long gun,,
CA1001,California,6,1,background checks,private sales,long gun,Restrictive,Implement
CA1002,California,6,1,background checks,private sales,handgun,,
CA1003,California,6,1,background checks,sales from dealer,handgun,Restrictive,Implement
CA1004,California,6,1,background checks,sales from dealer,long gun,Restrictive,Modify
CA1005,California,6,1,background checks,sales from dealer,long gun,Restrictive,Implement
CA1006,California,6,1,background checks,sales from dealer,long gun,,
CA1007,California,6,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
CA1008,California,6,3,castle doctrine,,handgun and long gun,Permissive,Modify
CA1009,California,6,3,castle doctrine,,handgun and long gun,Permissive,Implement
CA1010,California,6,4,child access laws,negligent storage,handgun and long gun,,
CA1011,California,6,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
CA1012,California,6,4,child access laws,negligent storage,handgun and long gun,Restrictive,Modify
CA1013,California,6,5,dealer license,,long gun,Restrictive,Implement
CA1014,California,6,6,firearm sales restrictions,assault weapons ban,long gun,Restrictive,Implement
CA1015,California,6,6,firearm sales restrictions,saturday night special ban,handgun,Restrictive,Implement
CA1017,California,6,7,minimum age,youth possession,handgun,Restrictive,Implement
CA1018,California,6,7,minimum age,youth possession,long gun,,
CA1019,California,6,7,minimum age,youth possession,long gun,,
CA1020,California,6,7,minimum age,purchase and sale,handgun,Restrictive,Implement
CA1022,California,6,7,minimum age,purchase and sale,handgun,Restrictive,Modify
CA1023,California,6,6,firearm sales restrictions,one gun per month,handgun,Restrictive,Implement
CA1025,California,6,8,open carry,prohibited,handgun,Restrictive,Modify
CA1026,California,6,8,open carry,limited : prohibited : loaded,long gun,Restrictive,Implement
CA1027,California,6,8,open carry,prohibited,long gun,Restrictive,Modify
CA1031,California,6,11,registration,,handgun,Restrictive,Implement
CA1032,California,6,11,registration,,long gun,Restrictive,Implement
CA1033,California,6,11,registration,,long gun,,
CA1034,California,6,1,background checks,extra time,handgun,Restrictive,Implement
CA1035,California,6,13,waiting period,,handgun,Restrictive,Implement
CA1036,California,6,13,waiting period,,handgun,Restrictive,Modify
CA1037,California,6,13,waiting period,,long gun,Restrictive,Implement
CA1038,California,6,13,waiting period,,long gun,,
CA1040,California,6,1,background checks,private sales,handgun,Restrictive,Implement
CA1041,California,6,1,background checks,sales from dealer,long gun,,
CA1042,California,6,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
CA1043,California,6,5,dealer license,,handgun,Restrictive,Implement
CA1044,California,6,6,firearm sales restrictions,assault weapons ban,handgun,Restrictive,Implement
CA1045,California,6,8,open carry,limited : prohibited : loaded,handgun,Restrictive,Implement
CA1046,California,6,1,background checks,private sales,long gun,,
CA1047,California,6,13,waiting period,,handgun,Restrictive,Modify
CA1048,California,6,7,minimum age,purchase and sale,long gun,Restrictive,Implement
CA1049,California,6,7,minimum age,purchase and sale,long gun,Restrictive,Modify
CA1050,California,6,11,registration,,handgun,Restrictive,Modify
CA1051,California,6,11,registration,,long gun,Restrictive,Modify
CA1052,California,6,10,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,Restrictive,Implement
CA1053,California,6,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
CA1054,California,6,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Modify
CA1055,California,6,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
CA1056,California,6,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Modify
CA1057,California,6,10,prohibited possessor,dvro : ex parte,handgun and long gun,Restrictive,Implement
CA1058,California,6,10,prohibited possessor,dvro : ex parte : expanded,handgun and long gun,Restrictive,Implement
CA1059,California,6,10,prohibited possessor,dvro : expanded : surrender,handgun and long gun,Restrictive,Implement
CA1060,California,6,10,prohibited possessor,dvro : expanded : surrender,handgun and long gun,Restrictive,Implement
CA1061,California,6,10,prohibited possessor,dvro : ex parte : surrender,handgun and long gun,Restrictive,Implement
CA1062,California,6,10,prohibited possessor,dvro : removal,handgun and long gun,Restrictive,Implement
CA1063,California,6,10,prohibited possessor,dvro : ex parte : removal,handgun and long gun,Restrictive,Implement
CA1064,California,6,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
CA1065,California,6,10,prohibited possessor,erpo : expanded ex parte,handgun and long gun,Restrictive,Implement
CA1066,California,6,12,safety training required,to purchase,handgun,,
CA1067,California,6,12,safety training required,to purchase,handgun,Restrictive,Implement
CA1068,California,6,12,safety training required,to purchase,long gun,Restrictive,Implement
CA1069,California,6,10,prohibited possessor,erpo,handgun and long gun,,
CA1070,California,6,10,prohibited possessor,dvro,handgun and long gun,,
CA1071,California,6,12,safety training required,to purchase,long gun,,
CA1072,California,6,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
CA1073,California,6,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
CA1074,California,6,9,permit to purchase,,handgun,,
CA1075,California,6,9,permit to purchase,,long gun,,
CA1076,California,6,6,firearm sales restrictions,,handgun and long gun,,
CA1077,California,6,1,background checks,extra time,long gun,Restrictive,Implement
CA1078,California,6,9,permit to purchase,,handgun,Restrictive,Implement
CA1079,California,6,9,permit to purchase,,long gun,Restrictive,Implement
CA1080,California,6,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
CA1081,California,6,13,firearms in college/university,,handgun and long gun,,
CA1082,California,6,13,firearms in college/university,private : possession prohibited,handgun,Restrictive,Implement
CA1083,California,6,13,firearms in college/university,private : possession prohibited,long gun,Restrictive,Implement
