city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Aberdeen,MD,15580,10,20,6
Aberdeen,SD,28102,8,28,2
Aberdeen,WA,16276,3,5,1
Abilene,TX,121721,48,134,25
Abington,MA,15985,2,3,0
Acworth,GA,22131,11,18,9
Ada,OK,17303,7,16,5
Addison,IL,37208,1,2,2
Addison,TX,15518,1,2,1
Adelanto,CA,33166,1,14,4
Adelphi,MD,15086,1,1,0
Adrian,MI,20691,5,13,2
Affton,MO,20307,0,3,2
Agawam,MA,28761,1,4,0
Agoura Hills,CA,20915,0,2,0
Aiken,SC,30604,82,244,25
Akron,OH,197542,196,385,101
Alabaster,AL,32707,1,4,1
Alameda,CA,78630,6,18,4
Alamo,TX,19246,1,2,0
Alamogordo,NM,30753,6,15,8
Albany,GA,74843,101,216,41
Albany,NY,98469,117,203,14
Albany,OR,52175,4,48,7
Albemarle,NC,16003,14,23,9
Albert Lea,MN,17674,3,51,2
Albertville,AL,21462,10,18,3
Albuquerque,NM,559121,288,739,233
Alexandria,LA,47889,34,96,30
Alexandria,VA,153511,47,84,18
Algonquin,IL,30571,1,2,0
Alhambra,CA,85551,2,9,3
Alice,TX,19408,4,12,3
Aliso Viejo,CA,50195,2,6,2
Allapattah,FL,54289,4,2,1
Allen,TX,98143,7,7,2
Allen Park,MI,27425,0,7,1
Allendale,MI,17579,1,1,0
Allentown,PA,120207,110,203,44
Alliance,OH,22055,2,16,2
Allison Park,PA,21552,0,1,2
Aloha,OR,49425,0,2,0
Alpharetta,GA,63693,1,18,4
Alsip,IL,19346,2,3,3
Altadena,CA,42777,5,15,3
Altamonte Springs,FL,43159,19,35,14
Alton,IL,27003,25,66,9
Alton,TX,15760,0,1,0
Altoona,IA,16984,1,3,0
Altoona,PA,45344,3,30,3
Altus,OK,19214,15,37,4
Alvin,TX,25791,7,40,7
Amarillo,TX,198645,115,315,44
American Canyon,CA,20554,1,5,0
American Fork,UT,28326,3,6,3
Americus,GA,16028,17,23,12
Ames,IA,65060,9,19,4
Amesbury,MA,18313,0,3,1
Amherst,MA,39833,5,8,1
Amherst,NY,122366,1,7,0
Amsterdam,NY,18008,1,9,2
Anaheim,CA,350742,34,69,30
Anchorage,AK,298695,190,469,108
Anderson,IN,55305,17,46,10
Anderson,SC,27335,102,172,41
Andover,MN,32213,0,2,3
Angleton,TX,19429,1,1,0
Ankeny,IA,56764,2,5,1
Ann Arbor,MI,117070,12,54,6
Annandale,VA,41008,4,6,2
Annapolis,MD,39474,54,178,20
Anniston,AL,22347,40,62,35
Anoka,MN,17350,2,2,0
Ansonia,CT,18854,11,21,0
Antelope,CA,45770,1,7,4
Antioch,CA,110542,78,140,45
Apache Junction,AZ,38074,12,13,4
Apex,NC,45585,2,6,4
Apopka,FL,48382,35,65,20
Apple Valley,CA,72174,11,38,9
Apple Valley,MN,51221,0,1,1
Appleton,WI,74139,7,29,7
Arcadia,CA,58408,7,17,6
Arcata,CA,17843,6,30,2
Ardmore,OK,25176,20,36,10
Arlington,MA,42844,3,5,0
Arlington,TX,388125,88,146,78
Arlington,VA,207627,6,63,10
Arlington,WA,18949,4,11,4
Arlington Heights,IL,75926,5,11,1
Arnold,MO,21357,3,11,4
Arroyo Grande,CA,18108,2,3,0
Artesia,CA,16961,6,9,5
Arvada,CO,115368,4,22,12
Arvin,CA,20876,10,17,8
Asbury Park,NJ,15818,28,36,7
Ashburn,VA,43511,2,10,3
Asheboro,NC,26103,18,36,6
Asheville,NC,88512,64,142,25
Ashland,KY,21108,4,15,2
Ashland,MA,15802,0,3,0
Ashland,OH,20317,1,1,0
Ashland,OR,20861,1,13,2
Ashtabula,OH,18371,13,48,7
Astoria,NY,150165,2,6,3
Atascadero,CA,29819,1,2,0
Atascocita,TX,65844,2,1,0
Athens,AL,24966,27,57,10
Athens,GA,116714,72,368,21
Athens,OH,25044,2,7,1
Atlanta,GA,463878,684,1357,377
Atlantic City,NJ,39260,118,243,29
Attleboro,MA,44284,2,13,1
Atwater,CA,29237,13,48,7
Auburn,AL,62059,20,50,19
Auburn,MA,16724,3,7,2
Auburn,ME,22871,3,9,0
Auburn,NY,26985,2,14,1
Auburn,WA,77006,15,34,21
Auburn Hills,MI,22672,3,7,0
Auburndale,FL,15035,2,9,4
Augusta,GA,43459,164,328,73
Augusta,ME,18471,5,28,3
Aurora,CO,359407,81,166,70
Aurora,IL,200661,85,191,29
Aurora,OH,15838,0,2,0
Austin,MN,24563,8,46,1
Austin,TX,931830,196,530,129
Austintown,OH,29677,1,1,0
Avenel,NJ,17011,1,2,2
Aventura,FL,37649,1,4,2
Avon,IN,16451,3,8,1
Avon,OH,22544,1,6,4
Avon Lake,OH,23453,2,4,0
Avondale,AZ,80684,14,29,19
Azusa,CA,49690,23,29,9
Bainbridge Island,WA,23840,1,2,1
Bakersfield,CA,373640,305,605,153
Balch Springs,TX,25210,4,6,3
Baldwin,NY,24033,5,12,2
Baldwin Park,CA,77071,15,22,8
Ballwin,MO,30577,3,5,2
Baltimore,MD,621849,2427,3943,1055
Bangor,ME,32391,2,26,4
Banning,CA,30945,13,14,8
Barberton,OH,26234,9,9,5
Barnstable,MA,47821,2,18,1
Barrington,RI,16669,1,3,0
Barstow,CA,23692,7,17,3
Bartlesville,OK,36595,7,27,8
Bartlett,IL,41545,0,1,0
Bartlett,TN,58579,2,6,0
Bartow,FL,18972,7,16,5
Batavia,IL,26495,1,1,0
Batavia,NY,15010,2,9,0
Baton Rouge,LA,228590,471,868,339
Battle Creek,MI,51589,69,175,20
Battle Ground,WA,19407,2,5,1
Bay City,MI,33917,10,57,6
Bay City,TX,17598,2,7,3
Bay Point,CA,21534,6,5,2
Bay Shore,NY,26337,7,16,4
Bay Village,OH,15402,4,5,0
Bayonne,NJ,66311,13,19,0
Bayside,CA,17132,0,1,0
Bayside,NY,66455,2,3,1
Baytown,TX,76335,31,47,23
Bayville,NJ,20512,0,1,0
Bear,DE,19371,13,34,6
Beaumont,CA,43811,1,8,3
Beaumont,TX,118129,59,132,54
Beaver Dam,WI,16564,2,11,2
Beavercreek,OH,46277,0,4,2
Beaverton,OR,96577,8,25,10
Beckley,WV,17056,37,68,9
Bedford,NH,21188,1,5,3
Bedford,TX,49337,0,4,3
Bell,CA,36205,3,8,5
Bell Gardens,CA,43106,2,11,4
Bella Vista,AR,27999,1,4,0
Bellaire,TX,18518,3,7,2
Belle Glade,FL,18251,48,47,16
Belleville,IL,42034,19,69,8
Belleville,NJ,36878,4,15,4
Bellevue,NE,55510,2,14,2
Bellevue,WA,139820,3,14,2
Bellflower,CA,78441,14,22,14
