city_or_county,state_abr,n_rpts_x,n_injured_x,n_killed_x,n_injured_y,n_rpts_y,n_killed_y
Abbeville,AL,2,1,1,1,2,1
Abbeville,GA,1,0,0,0,1,0
Abbeville,LA,27,14,5,14,27,5
Abbeville,SC,7,5,1,5,7,1
Abbotsford,WI,3,2,4,2,3,4
Abbott,TX,1,0,2,0,1,2
Abbott Township,PA,1,1,0,1,1,0
Abbottstown,PA,1,0,0,0,1,0
Abercrombie,ND,1,1,0,1,1,0
Aberdeen,ID,1,0,0,0,1,0
Aberdeen,MD,20,10,6,10,20,6
Aberdeen,MS,23,16,6,16,23,6
Aberdeen,NC,5,1,2,1,5,2
Aberdeen,SD,28,8,2,8,28,2
Aberdeen,WA,5,3,1,3,5,1
Abilene,KS,3,1,0,1,3,0
Abilene,TX,134,48,25,48,134,25
Abingdon,MD,4,0,3,0,4,3
Abingdon,VA,8,6,2,6,8,2
Abington,MA,3,2,0,2,3,0
Abington,PA,5,1,2,1,5,2
Abita Springs,LA,2,0,0,0,2,0
Absecon,NJ,14,5,3,5,14,3
Absecon (Galloway),NJ,5,1,0,1,5,0
Acadia (county),LA,1,0,0,0,1,0
Acampo,CA,2,2,1,2,2,1
Accokeek,MD,3,0,2,0,3,2
Accomac,VA,2,3,0,3,2,0
Achille,OK,1,0,0,0,1,0
Acme,WA,1,0,1,0,1,1
Acton,IN,1,0,0,0,1,0
Acton,ME,2,0,1,0,2,1
Acushnet,MA,2,0,0,0,2,0
Acworth,GA,18,11,9,11,18,9
Ada,OK,16,7,5,7,16,5
Ada (Byng),OK,1,0,1,0,1,1
Adairsville,GA,3,0,2,0,3,2
Adams,MA,4,1,1,1,4,1
Adams,NE,1,0,0,0,1,0
Adams (county),CO,4,0,3,0,4,3
Adams (county),WA,1,0,0,0,1,0
Adams Run,SC,5,1,2,1,5,2
Adamsville,AL,9,6,1,6,9,1
Addis,LA,1,0,1,0,1,1
Addison,IL,2,1,2,1,2,2
Addison,NY,1,0,0,0,1,0
Addison,TX,2,1,1,1,2,1
Adel,GA,8,6,4,6,8,4
Adelanto,CA,14,1,4,1,14,4
Adelphi,MD,1,1,0,1,1,0
Adger,AL,3,1,1,1,3,1
Adkins,TX,1,0,1,0,1,1
Adrian,MI,13,5,2,5,13,2
Adrian,OH,2,1,1,1,2,1
Advance,MO,1,0,0,0,1,0
Advance,NC,1,1,0,1,1,0
Advance (Bermuda Run),NC,1,1,0,1,1,0
Affton,MO,3,0,2,0,3,2
Afton,IA,1,0,0,0,1,0
Afton,MN,1,0,0,0,1,0
Afton,NY,1,1,0,1,1,0
Afton,OK,2,2,0,2,2,0
Afton,TN,5,1,0,1,5,0
Afton,VA,3,1,1,1,3,1
Agate,CO,2,0,1,0,2,1
Agawam,MA,4,1,0,1,4,0
Agoura Hills,CA,2,0,0,0,2,0
Agra,OK,1,0,0,0,1,0
Agua Dulce,TX,1,1,0,1,1,0
Agua Fria,NM,2,0,0,0,2,0
Aguanga,CA,1,0,1,0,1,1
Ahoskie,NC,6,5,3,5,6,3
Ahsahka,ID,1,0,1,0,1,1
Aiea,HI,5,0,2,0,5,2
Aiken,SC,244,82,25,82,244,25
Aiken (county),SC,3,0,1,0,3,1
Aiken County,SC,3,0,1,0,3,1
Airway Heights,WA,4,0,0,0,4,0
Aitken,MN,1,0,0,0,1,0
Aitkin,MN,3,0,3,0,3,3
Ajo,AZ,1,0,0,0,1,0
Akiachak,AK,1,0,0,0,1,0
Akiak,AK,1,0,0,0,1,0
Akron,IA,1,0,1,0,1,1
Akron,IN,1,1,0,1,1,0
Akron,NY,1,0,0,0,1,0
Akron,OH,385,196,101,196,385,101
Akron (East Akron),OH,1,2,0,2,1,0
Akron (Newstead),NY,1,0,0,0,1,0
Ala Moana,HI,1,0,0,0,1,0
Alabaster,AL,4,1,1,1,4,1
Alachua,FL,19,11,1,11,19,1
Alachua (county),FL,1,0,0,0,1,0
Alakanuk,AK,3,3,1,3,3,1
Alamance,NC,1,1,0,1,1,0
Alamance (county),NC,1,0,0,0,1,0
Alameda,CA,18,6,4,6,18,4
Alameda County,CA,1,2,0,2,1,0
Alamo,CA,1,0,0,0,1,0
Alamo,TN,5,1,2,1,5,2
Alamo,TX,2,1,0,1,2,0
Alamogordo,NM,15,6,8,6,15,8
Alamosa,CO,2,1,0,1,2,0
Alapaha,GA,1,1,0,1,1,0
Albany,GA,216,101,41,101,216,41
Albany,IL,1,0,0,0,1,0
Albany,KY,1,0,1,0,1,1
Albany,LA,1,0,0,0,1,0
Albany,MN,1,0,0,0,1,0
Albany,NY,203,117,14,117,203,14
Albany,OR,48,4,7,4,48,7
Albany ,LA,1,0,0,0,1,0
Albany (Colonie),NY,12,1,1,1,12,1
Albany (Loudonville),NY,1,0,0,0,1,0
Albemarle,NC,23,14,9,14,23,9
Albemarle (county),VA,2,2,0,2,2,0
Albert Lea,MN,51,3,2,3,51,2
Albert Lea (Oakland),MN,2,1,0,1,2,0
Alberta,AL,1,1,1,1,1,1
Albertville,AL,18,10,3,10,18,3
Albion,ME,1,0,0,0,1,0
Albion,MI,12,9,2,9,12,2
Albion,NY,5,1,0,1,5,0
Albright,WV,2,0,0,0,2,0
Albuquerque,NM,739,288,233,288,739,233
Albuquerque (Los Ranchos De Albuquerque),NM,1,0,0,0,1,0
