state,state_abr,state_pop,population,vega_state_id
Alabama,AL,4903185,4903185,1
Alaska,AK,731545,731545,2
Arizona,AZ,7278717,7278717,4
Arkansas,AR,3017804,3017804,5
California,CA,39512223,39512223,6
Colorado,CO,5758736,5758736,8
Connecticut,CT,3565287,3565287,9
Delaware,DE,973764,973764,10
Florida,FL,705749,705749,11
Georgia,GA,21477737,21477737,12
Hawaii,HI,10617423,10617423,13
Idaho,ID,1415872,1415872,15
Illinois,IL,1787065,1787065,16
Indiana,IN,12671821,12671821,17
Iowa,IA,6732219,6732219,18
Kansas,KS,3155070,3155070,19
Kentucky,KY,2913314,2913314,20
Louisiana,LA,4467673,4467673,21
Maine,ME,4648794,4648794,22
Maryland,MD,1344212,1344212,23
Massachusetts,MA,6045680,6045680,24
Michigan,MI,6892503,6892503,25
Minnesota,MN,9986857,9986857,26
Mississippi,MS,5639632,5639632,27
Missouri,MO,2976149,2976149,28
Montana,MT,6137428,6137428,29
Nebraska,NE,1068778,1068778,30
Nevada,NV,1934408,1934408,31
New Hampshire,NH,3080156,3080156,32
New Jersey,NJ,1359711,1359711,33
New Mexico,NM,8882190,8882190,34
New York,NY,2096829,2096829,35
North Carolina,NC,19453561,19453561,36
North Dakota,ND,10488084,10488084,37
Ohio,OH,762062,762062,38
Oklahoma,OK,11689100,11689100,39
Oregon,OR,3956971,3956971,40
Pennsylvania,PA,4217737,4217737,41
Rhode Island,RI,12801989,12801989,42
South Carolina,SC,1059361,1059361,44
South Dakota,SD,5148714,5148714,45
Tennessee,TN,884659,884659,46
Texas,TX,6829174,6829174,47
Utah,UT,28995881,28995881,48
Vermont,VT,3205958,3205958,49
Virginia,VA,623989,623989,50
Washington,WA,8535519,8535519,51
West Virginia,WV,7614893,7614893,53
Wisconsin,WI,1792147,1792147,54
Wyoming,WY,5822434,5822434,55
District of Columbia,DC,578759,578759,56
